ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
43794,/p2400/m43794,אֲנִי עֲטֶרֶת,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43795,/p2400/m43795,אָנָה דוֹדִי,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43796,/p2400/m43796,שִׂמְחוּ בְנֵי יִשְׂרָאֵל,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43797,/p2400/m43797,חָרַד לִבִּי,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43798,/p2400/m43798,אֱנוֹשׁ רִמָּה,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43821,/p1968/m43821,ברכת האדמה,קנוט האמסון,ניסן טורוב ,https://wikidata.org/wiki/Q40826,https://wikidata.org/wiki/Q401855,no,Translation missing: he.prose,ירושלים: שוקן
43822,/p111/m43822,אגריפוס הראשון: ציור היסטורי,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose, ורשה: תושיה
43827,/p111/m43827,בְּשֶׁל מִגְבַּעַת,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,ועד היובל
43828,/p111/m43828,מִי נִצַּח,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,ועד היובל
43829,/p111/m43829,הַמּוֹרָה,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,ועד היובל
43830,/p111/m43830,אֵם הַבָּנִים,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,ועד היובל
43831,/p111/m43831,נִשְׁמַת קָדוֹש,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,ועד היובל
43832,/p111/m43832,מַתָּן בְּסֵתֶר,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,ועד היובל
